gene_id,pyrEplusFe2,pyrEplusFe3,troRplusFe1,troRplusFe2,troRplusFe3
HVO_RS00875,1,8,4,6,4
HVO_RS00880,0,1,2,1,3
HVO_RS00885,0,0,2,2,1
HVO_RS00890,16,21,43,46,22
HVO_RS00895,109,182,311,215,156
HVO_RS00900,47,42,274,220,123
HVO_RS00905,271,303,682,660,349
HVO_RS00910,26,26,132,144,47
HVO_RS00915,21,29,62,80,37
HVO_RS00920,12,17,53,22,19
HVO_RS00925,53,38,78,57,53
HVO_RS00930,11,16,18,10,12
HVO_RS00935,10,12,26,20,14
HVO_RS00940,82,108,228,193,128
HVO_RS00945,2278,1896,1875,1948,3296
HVO_RS00950,9642,10113,4570,4465,8387
HVO_RS00955,3249,3729,6833,5512,4082
HVO_RS00965,89,153,362,312,177
HVO_RS00970,4402,5482,24849,21532,11313
HVO_RS00975,18407,24248,70027,55443,34043
HVO_RS00980,22,37,111,96,59
HVO_RS00985,930,1210,2297,1729,1091
HVO_RS00990,22,29,85,65,34
HVO_RS00995,22,44,79,80,37
HVO_RS01000,7,14,30,20,17
HVO_RS01005,11,10,28,21,12
HVO_RS01010,2,5,6,5,2
HVO_RS01015,1,2,0,2,0
HVO_RS01025,1,1,6,4,7
HVO_RS01030,0,3,0,0,0
HVO_RS01035,0,3,6,7,0
HVO_RS01040,6,6,33,15,9
HVO_RS01045,8,5,9,5,5
HVO_RS01050,6,18,23,11,11
HVO_RS01055,3,5,1,6,2
HVO_RS01060,2,2,4,2,5
HVO_RS01065,62,91,125,115,80
HVO_RS01070,5,18,39,42,22
HVO_RS01075,12,27,20,17,9
HVO_RS01080,2,7,6,5,3
HVO_RS01085,0,2,1,1,3
HVO_RS01090,1,1,2,2,0
HVO_RS01095,28,20,59,54,27
HVO_RS01100,27,76,156,130,76
HVO_RS01105,30,35,96,70,68
HVO_RS01110,27,32,56,36,32
HVO_RS01120,68,111,288,288,134
HVO_RS01125,7,18,31,40,32
HVO_RS01130,2,3,13,6,7
HVO_RS01135,1,1,2,4,6
HVO_RS01140,22,42,36,33,22
HVO_RS01145,30,43,76,78,43
HVO_RS01150,2,2,1,0,0
HVO_RS01155,3,2,7,6,7
HVO_RS01165,8,23,71,61,23
HVO_RS01170,4,4,19,18,5
HVO_RS01175,31,49,59,41,33
HVO_RS01180,0,2,4,7,5
HVO_RS01185,210,303,563,581,247
HVO_RS01190,111,169,369,357,239
HVO_RS01195,1,1,8,11,2
HVO_RS01200,14,12,46,41,18
HVO_RS01210,11,8,34,35,21
HVO_RS01215,472,624,560,385,273
HVO_RS01230,10,7,20,27,17
HVO_RS01235,484,662,1437,1249,853
HVO_RS01240,99,143,225,171,151
HVO_RS01245,288,357,499,376,283
HVO_RS01250,79,113,240,201,132
HVO_RS01255,7,7,22,18,7
HVO_RS01260,40,47,146,106,53
HVO_RS01265,2,5,11,6,0
HVO_RS01270,16,27,37,35,19
HVO_RS01275,1,6,6,5,1
HVO_RS01280,4,19,21,10,10
HVO_RS01285,8,10,15,14,7
HVO_RS01290,4,5,12,13,8
HVO_RS01295,169,215,503,350,323
HVO_RS01300,51,69,141,93,89
HVO_RS01305,383,446,1095,765,646
HVO_RS01310,163,224,412,268,208
HVO_RS01315,51,56,110,83,57
HVO_RS01330,76,168,366,310,180
HVO_RS01335,87,117,195,204,115
HVO_RS01340,88,125,301,173,149
HVO_RS01345,77,126,104,98,107
HVO_RS01350,1426,1888,934,756,689
HVO_RS01355,464,523,854,608,449
HVO_RS01365,50,80,133,120,59
HVO_RS01370,695,870,2230,1556,1169
HVO_RS01380,784,1097,2247,1599,1281
HVO_RS01385,119,155,502,351,223
HVO_RS01390,338,439,953,871,466
HVO_RS01395,692,890,405,306,267
HVO_RS01405,323,478,784,551,358
HVO_RS01410,381,472,611,544,319
HVO_RS01415,138,154,322,364,125
HVO_RS01420,20,27,65,84,20
HVO_RS01425,14,16,23,40,4
HVO_RS01435,122,150,392,289,185
HVO_RS01440,5,28,98,107,56
HVO_RS01460,72,82,97,86,41
HVO_RS01465,3,7,10,11,10
HVO_RS01470,1,0,0,1,3
HVO_RS01475,11,11,41,22,23
HVO_RS01480,18,22,32,33,27
HVO_RS01485,7,20,42,55,29
HVO_RS01490,0,0,9,7,2
HVO_RS01500,6,11,38,38,20
HVO_RS01505,0,0,0,0,1
HVO_RS01510,3,2,1,2,0
HVO_RS01515,4,6,18,19,4
HVO_RS01525,82,131,235,225,136
HVO_RS01530,11,22,27,26,24
HVO_RS01535,30,43,33,24,14
HVO_RS01540,212,275,386,303,229
HVO_RS01545,2,1,8,10,4
HVO_RS01550,108,154,149,113,112
HVO_RS01555,84,94,245,193,128
HVO_RS01560,21,39,44,43,23
HVO_RS01565,5,5,3,1,1
HVO_RS01570,21,19,27,32,25
HVO_RS01575,13,7,12,15,3
HVO_RS01580,2,4,4,5,4
HVO_RS01585,12,13,10,19,13
HVO_RS01590,10,9,17,16,17
HVO_RS01595,1,2,11,9,6
HVO_RS01600,22,41,45,62,28
HVO_RS01605,15,29,24,15,14
HVO_RS01610,1,1,4,2,3
HVO_RS01625,5,0,0,0,0
HVO_RS01630,7,12,18,9,8
HVO_RS01635,9,21,22,17,12
HVO_RS01640,4,11,26,16,8
HVO_RS01645,3,6,7,6,8
HVO_RS01650,0,3,4,2,3
HVO_RS01655,6,4,7,12,6
HVO_RS01660,41,78,77,65,28
HVO_RS01665,32,47,134,106,60
HVO_RS01670,12,15,39,36,18
HVO_RS01675,28,22,70,66,47
HVO_RS01680,1,3,20,12,9
HVO_RS01685,13,12,26,20,12
HVO_RS01690,3,3,10,4,4
HVO_RS01695,2038,2876,3500,2838,2154
HVO_RS01700,768,1045,496,483,397
HVO_RS01705,838,998,789,763,565
HVO_RS01710,7555,9456,12264,10441,8077
HVO_RS01715,507,654,1253,1478,761
HVO_RS01720,312,385,771,1000,532
HVO_RS01725,6515,7284,13015,10926,8091
HVO_RS01730,6571,8026,11518,8521,6989
HVO_RS01735,1088,1438,1110,792,846
HVO_RS01740,43,52,135,122,82
HVO_RS01745,192,245,207,136,182
HVO_RS01750,4,16,11,6,11
HVO_RS01755,56,104,102,98,69
HVO_RS01760,64,120,82,52,68
HVO_RS01770,13,7,33,19,14
HVO_RS01775,322,361,762,624,414
HVO_RS01780,221,283,597,487,311
HVO_RS01785,192,189,577,504,308
HVO_RS01790,46,55,160,185,80
HVO_RS01795,3013,3798,4944,3478,3132
HVO_RS01800,328,408,509,355,323
HVO_RS01805,24212,29952,28905,20093,20430
HVO_RS01810,2789,3569,5635,4342,3489
HVO_RS01815,5,12,26,34,16
HVO_RS01820,550,746,672,494,442
HVO_RS01825,49,63,75,71,27
HVO_RS01830,12,13,25,34,10
HVO_RS01840,4941,7565,6929,6316,4514
HVO_RS01845,0,0,0,0,0
HVO_RS01850,0,0,0,0,0
HVO_RS01855,0,0,0,0,0
HVO_RS01860,0,0,0,0,0
HVO_RS01865,0,0,0,0,0
HVO_RS01870,825,1033,1825,1270,842
HVO_RS01875,796,1033,2128,1915,1102
HVO_RS01880,1833,2445,3009,2392,1800
HVO_RS01885,188,238,598,572,342
HVO_RS01890,1411,2132,7382,5781,3258
HVO_RS01895,0,0,0,0,0
HVO_RS01900,17827,16758,14901,12016,11528
HVO_RS01905,334,449,216,167,209
HVO_RS01910,18,17,52,82,31
HVO_RS01915,78,91,179,178,114
HVO_RS01920,17486,22224,11023,7783,7573
HVO_RS01925,397,562,565,449,359
HVO_RS01930,0,0,0,0,0
HVO_RS01935,0,0,0,0,0
HVO_RS01940,59,86,109,77,56
HVO_RS01945,16,17,15,39,15
HVO_RS01955,773,1049,866,720,563
HVO_RS01960,37,54,135,113,70
HVO_RS01965,22,21,53,65,40
HVO_RS01970,3,2,4,3,1
HVO_RS01975,1078,1861,2635,2162,1722
HVO_RS01980,9,8,12,8,13
HVO_RS01990,1108,1306,2099,1792,1155
HVO_RS01995,11,15,53,42,35
HVO_RS02000,1,1,8,8,6
HVO_RS02005,0,0,8,4,0
HVO_RS02010,6,6,8,5,6
HVO_RS02015,0,0,1,0,1
HVO_RS02020,0,0,0,1,1
HVO_RS02025,0,0,3,2,0
HVO_RS02040,283,447,557,482,367
HVO_RS02045,82,91,233,217,154
HVO_RS02050,2228,2915,1600,1465,1442
HVO_RS02060,22,49,49,46,33
HVO_RS02065,4,2,7,7,6
HVO_RS02075,92,116,290,232,122
HVO_RS02080,56,89,92,74,69
HVO_RS02085,527,641,364,309,292
HVO_RS02090,62,66,82,61,76
HVO_RS02095,92,144,219,159,127
HVO_RS02100,11,6,23,22,9
HVO_RS02105,0,1,0,2,0
HVO_RS02110,0,0,0,2,0
HVO_RS02115,0,0,0,0,0
HVO_RS02120,0,0,0,0,0
HVO_RS02130,0,8,7,4,3
HVO_RS02135,2,1,4,0,1
HVO_RS02140,1,0,0,0,0
HVO_RS02145,1,0,6,1,1
HVO_RS02150,0,1,0,1,3
HVO_RS02155,0,0,0,2,1
HVO_RS02160,8,6,8,10,9
