Label,Info,variable,strain,name,media,condition,techrep,biorep
,,Blank,,,,,,
,,113,SH117,troR,PR,(10Fe),1,2
,,114,SH117,troR,PR,(10Fe),2,2
,,115,SH117,troR,PR,(10Fe),3,2
,,116,SH117,troR,PR,(10Fe),1,3
,,117,SH117,troR,PR,(10Fe),2,3
,,118,SH117,troR,PR,(10Fe),3,3
,,119,AKS338,arsR,PR,(10Fe),1,1
,,120,AKS338,arsR,PR,(10Fe),2,1
,,121,AKS338,arsR,PR,(10Fe),3,1
,,122,H26,pyrE,PR,(100Fe),1,1
,,123,H26,pyrE,PR,(100Fe),2,1
,,124,H26,pyrE,PR,(100Fe),3,1
,,125,H26,pyrE,PR,(100Fe),1,2
,,126,H26,pyrE,PR,(100Fe),2,2
,,127,H26,pyrE,PR,(100Fe),3,2
,,128,H26,pyrE,PR,(100Fe),1,3
,,129,H26,pyrE,PR,(100Fe),2,3
,,130,H26,pyrE,PR,(100Fe),3,3
,,131,SH118,idr,PR,(100Fe),1,1
,,132,SH118,idr,PR,(100Fe),2,1
,,133,SH118,idr,PR,(100Fe),3,1
,,134,SH118,idr,PR,(100Fe),1,2
,,135,SH118,idr,PR,(100Fe),2,2
,,136,SH118,idr,PR,(100Fe),3,2
,,137,SH118,idr,PR,(100Fe),1,3
,,138,SH118,idr,PR,(100Fe),2,3
,,139,SH118,idr,PR,(100Fe),3,3
,,140,SH119,sirR,PR,(100Fe),1,1
,,141,SH119,sirR,PR,(100Fe),2,1
,,142,SH119,sirR,PR,(100Fe),3,1
,,143,SH119,sirR,PR,(100Fe),1,2
,,144,SH119,sirR,PR,(100Fe),2,2
,,145,SH119,sirR,PR,(100Fe),3,2
,,146,SH119,sirR,PR,(100Fe),1,3
,,147,SH119,sirR,PR,(100Fe),2,3
,,148,SH119,sirR,PR,(100Fe),3,3
,,149,SH117,troR,PR,(100Fe),1,1
,,150,SH117,troR,PR,(100Fe),2,1
,,151,SH117,troR,PR,(100Fe),3,1
,,152,SH117,troR,PR,(100Fe),1,2
,,153,SH117,troR,PR,(100Fe),2,2
,,154,SH117,troR,PR,(100Fe),3,2
,,155,SH117,troR,PR,(100Fe),1,3
,,156,SH117,troR,PR,(100Fe),2,3
,,157,SH117,troR,PR,(100Fe),3,3
,,158,AKS338,arsR,PR,(100Fe),1,1
,,159,AKS338,arsR,PR,(100Fe),2,1
,,160,AKS338,arsR,PR,(100Fe),3,1
,,161,H26,pyrE,PR,(250Fe),1,1
,,162,H26,pyrE,PR,(250Fe),2,1
,,163,H26,pyrE,PR,(250Fe),3,1
,,164,H26,pyrE,PR,(250Fe),1,2
,,165,H26,pyrE,PR,(250Fe),2,2
,,166,H26,pyrE,PR,(250Fe),3,2
,,167,H26,pyrE,PR,(250Fe),1,3
,,168,H26,pyrE,PR,(250Fe),2,3
,,169,H26,pyrE,PR,(250Fe),3,3
,,170,SH118,idr,PR,(250Fe),1,1
,,171,SH118,idr,PR,(250Fe),2,1
,,172,SH118,idr,PR,(250Fe),3,1
,,173,SH118,idr,PR,(250Fe),1,2
,,174,SH118,idr,PR,(250Fe),2,2
,,175,SH118,idr,PR,(250Fe),3,2
,,176,SH118,idr,PR,(250Fe),1,3
,,177,SH118,idr,PR,(250Fe),2,3
,,178,SH118,idr,PR,(250Fe),3,3
,,179,SH119,sirR,PR,(250Fe),1,1
,,180,SH119,sirR,PR,(250Fe),2,1
,,181,SH119,sirR,PR,(250Fe),3,1
,,182,SH119,sirR,PR,(250Fe),1,2
,,183,SH119,sirR,PR,(250Fe),2,2
,,184,SH119,sirR,PR,(250Fe),3,2
,,185,SH119,sirR,PR,(250Fe),1,3
,,186,SH119,sirR,PR,(250Fe),2,3
,,187,SH119,sirR,PR,(250Fe),3,3
,,188,SH117,troR,PR,(250Fe),1,1
,,189,SH117,troR,PR,(250Fe),2,1
,,190,SH117,troR,PR,(250Fe),3,1
,,191,SH117,troR,PR,(250Fe),1,2
,,192,SH117,troR,PR,(250Fe),2,2
,,193,SH117,troR,PR,(250Fe),3,2
,,194,SH117,troR,PR,(250Fe),1,3
,,195,SH117,troR,PR,(250Fe),2,3
,,196,SH117,troR,PR,(250Fe),3,3
,,197,AKS338,arsR,PR,(250Fe),1,1
,,198,AKS338,arsR,PR,(250Fe),2,1
,,199,AKS338,arsR,PR,(250Fe),3,1
