Label,Info,variable,strain,name,media,condition,techrep,biorep,,
,,Blank,,,,,,,,
,,102,AKS343,ArsRHA,PR,100microMFe,3,3,,
,,103,H26,pyrE,PR,Fe+ascorbate,1,1,,
,,104,H26,pyrE,PR,Fe+ascorbate,2,1,,
,,105,H26,pyrE,PR,Fe+ascorbate,3,1,,
,,106,H26,pyrE,PR,Fe+ascorbate,1,2,,
,,107,H26,pyrE,PR,Fe+ascorbate,2,2,,
,,108,H26,pyrE,PR,Fe+ascorbate,3,2,,
,,109,H26,pyrE,PR,Fe+ascorbate,1,3,,
,,110,H26,pyrE,PR,Fe+ascorbate,2,3,,
,,111,H26,pyrE,PR,Fe+ascorbate,3,3,,
,,112,SH117,troR,PR,Fe+ascorbate,1,1,,
,,113,SH117,troR,PR,Fe+ascorbate,2,1,,
,,114,SH117,troR,PR,Fe+ascorbate,3,1,,
,,115,SH117,troR,PR,Fe+ascorbate,1,2,,
,,116,SH117,troR,PR,Fe+ascorbate,2,2,,
,,117,SH117,troR,PR,Fe+ascorbate,3,2,,
,,118,SH117,troR,PR,Fe+ascorbate,1,3,,
,,119,SH117,troR,PR,Fe+ascorbate,2,3,,
,,120,SH117,troR,PR,Fe+ascorbate,3,3,,
,,121,AKS338,arsR,PR,Fe+ascorbate,1,1,,
,,122,AKS338,arsR,PR,Fe+ascorbate,2,1,,
,,123,AKS338,arsR,PR,Fe+ascorbate,3,1,,
,,124,AKS338,arsR,PR,Fe+ascorbate,1,2,,
,,125,AKS338,arsR,PR,Fe+ascorbate,2,2,,
,,126,AKS338,arsR,PR,Fe+ascorbate,3,2,,
,,127,AKS338,arsR,PR,Fe+ascorbate,1,3,,
,,128,AKS338,arsR,PR,Fe+ascorbate,2,3,,
,,129,AKS338,arsR,PR,Fe+ascorbate,3,3,,
,,130,SH121,TroRHA,PR,Fe+ascorbate,1,1,,
,,131,SH121,TroRHA,PR,Fe+ascorbate,2,1,,
,,132,SH121,TroRHA,PR,Fe+ascorbate,3,1,,
,,133,SH121,TroRHA,PR,Fe+ascorbate,1,2,,
,,134,SH121,TroRHA,PR,Fe+ascorbate,2,2,,
,,135,SH121,TroRHA,PR,Fe+ascorbate,3,2,,
,,136,SH121,TroRHA,PR,Fe+ascorbate,1,3,,
,,137,SH121,TroRHA,PR,Fe+ascorbate,2,3,,
,,138,SH121,TroRHA,PR,Fe+ascorbate,3,3,,
,,139,AKS343,ArsRHA,PR,Fe+ascorbate,1,1,,
,,140,AKS343,ArsRHA,PR,Fe+ascorbate,2,1,,
,,141,AKS343,ArsRHA,PR,Fe+ascorbate,3,1,,
,,142,AKS343,ArsRHA,PR,Fe+ascorbate,1,2,,
,,143,AKS343,ArsRHA,PR,Fe+ascorbate,2,2,,
,,144,AKS343,ArsRHA,PR,Fe+ascorbate,3,2,,
,,145,AKS343,ArsRHA,PR,Fe+ascorbate,1,3,,
,,146,AKS343,ArsRHA,PR,Fe+ascorbate,2,3,,
,,147,AKS343,ArsRHA,PR,Fe+ascorbate,3,3,,
,,148,H26,pyrE,PR,Fe+L-cys,1,1,,
,,149,H26,pyrE,PR,Fe+L-cys,2,1,,
,,150,H26,pyrE,PR,Fe+L-cys,3,1,,
,,151,H26,pyrE,PR,Fe+L-cys,1,2,,
,,152,H26,pyrE,PR,Fe+L-cys,2,2,,
,,153,H26,pyrE,PR,Fe+L-cys,3,2,,
,,154,H26,pyrE,PR,Fe+L-cys,1,3,,
,,155,H26,pyrE,PR,Fe+L-cys,2,3,,
,,156,H26,pyrE,PR,Fe+L-cys,3,3,,
,,157,SH117,troR,PR,Fe+L-cys,1,1,,
,,158,SH117,troR,PR,Fe+L-cys,2,1,,
,,159,SH117,troR,PR,Fe+L-cys,3,1,,
,,160,SH117,troR,PR,Fe+L-cys,1,2,,
,,161,SH117,troR,PR,Fe+L-cys,2,2,,
,,162,SH117,troR,PR,Fe+L-cys,3,2,,
,,163,SH117,troR,PR,Fe+L-cys,1,3,,
,,164,SH117,troR,PR,Fe+L-cys,2,3,,
,,165,SH117,troR,PR,Fe+L-cys,3,3,,
,,166,AKS338,arsR,PR,Fe+L-cys,1,1,,
,,167,AKS338,arsR,PR,Fe+L-cys,2,1,,
,,168,AKS338,arsR,PR,Fe+L-cys,3,1,,
,,169,AKS338,arsR,PR,Fe+L-cys,1,2,,
,,170,AKS338,arsR,PR,Fe+L-cys,2,2,,
,,171,AKS338,arsR,PR,Fe+L-cys,3,2,,
,,172,AKS338,arsR,PR,Fe+L-cys,1,3,,
,,173,AKS338,arsR,PR,Fe+L-cys,2,3,,
,,174,AKS338,arsR,PR,Fe+L-cys,3,3,,
,,175,SH121,TroRHA,PR,Fe+L-cys,1,1,,
,,176,SH121,TroRHA,PR,Fe+L-cys,2,1,,
,,177,SH121,TroRHA,PR,Fe+L-cys,3,1,,
,,178,SH121,TroRHA,PR,Fe+L-cys,1,2,,
,,179,SH121,TroRHA,PR,Fe+L-cys,2,2,,
,,180,SH121,TroRHA,PR,Fe+L-cys,3,2,,
,,181,SH121,TroRHA,PR,Fe+L-cys,1,3,,
,,182,SH121,TroRHA,PR,Fe+L-cys,2,3,,
,,183,SH121,TroRHA,PR,Fe+L-cys,3,3,,
,,184,AKS343,ArsRHA,PR,Fe+L-cys,1,1,,
,,185,AKS343,ArsRHA,PR,Fe+L-cys,2,1,,
,,186,AKS343,ArsRHA,PR,Fe+L-cys,3,1,,
,,187,AKS343,ArsRHA,PR,Fe+L-cys,1,2,,
,,188,AKS343,ArsRHA,PR,Fe+L-cys,2,2,,
,,189,AKS343,ArsRHA,PR,Fe+L-cys,3,2,,
,,190,AKS343,ArsRHA,PR,Fe+L-cys,1,3,,
,,191,AKS343,ArsRHA,PR,Fe+L-cys,2,3,,
,,192,AKS343,ArsRHA,PR,Fe+L-cys,3,3,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
