"","pyrEplusFe2","pyrEplusFe3","troRplusFe1","troRplusFe2","troRplusFe3"
"HVO_RS00005",664.463892876602,588.095192109578,1133.68827169916,1101.90598377328,1018.76101663425
"HVO_RS00010",161.963073888672,154.202175146273,343.950635673153,386.130788498978,291.584636770316
"HVO_RS00015",31.8388948670038,49.9827740129298,57.3251059455256,73.3479882083211,63.0774928523541
"HVO_RS00020",41.5289933047876,37.2212146904796,82.9528003682311,97.7973176110948,64.2676342269268
"HVO_RS00025",116.281181253405,130.805983055114,132.184950180271,134.049771553139,113.063430584408
"HVO_RS00030",95.5166846010115,121.234813563276,128.138472113528,125.618968310803,142.816964948726
"HVO_RS00035",2095.82986211495,2324.73072323967,2323.3528233216,2233.31977889474,2001.81779203131
"HVO_RS00040",16.611597321915,18.0788757068044,33.7206505561915,23.6062490785401,24.9929688660271
"HVO_RS00045",85.8265861632277,155.265638423144,124.766407057909,123.932807662336,115.443713333554
"HVO_RS00055",117.665481030232,172.281050853077,159.161470625224,168.616064846715,161.85922694189
"HVO_RS00060",94.1323848241853,94.6482316415053,105.208429735318,102.855799556496,133.295833952145
"HVO_RS00065",21415.1175475021,20689.6780515223,10543.77301591,8901.24206325809,12045.4208520505
"HVO_RS00070",7123.6066515479,8558.75245225657,2683.48937126172,2215.61509208584,3150.30421849399
"HVO_RS00075",491.42642077332,477.49501131501,650.134142723372,699.756669113868,585.549556289778
"HVO_RS00080",975.931342662509,1008.16318647356,951.596758695725,991.462461298685,1047.32440962399
"HVO_RS00085",85.8265861632277,66.9981864428633,99.1387126352031,130.677450256204,103.542299587827
"HVO_RS00090",80.2893870559227,99.9655480258595,142.975558358252,141.637494471241,115.443713333554
"HVO_RS00095",211.797865854417,236.088847465328,259.649009282675,295.078113481751,252.309971409417
"HVO_RS00100",30.4545950901776,29.7769717523837,64.7436490678877,74.1910685325547,52.3662204811997
"HVO_RS00105",17.9958970987413,32.9673615829962,35.0694765784392,47.2124981570802,48.7957963574815
"HVO_RS00110",87.210885940054,82.950135595926,150.394101480614,172.831466467883,149.957813196163
"HVO_RS00115",37.3760939743089,41.475067797963,57.9995189566494,99.4834782595619,48.7957963574815
"HVO_RS00120",159.194474335019,152.075248592531,131.510537169147,124.775887986569,135.67611670129
"HVO_RS00125",20.7644966523938,19.1423389836752,27.650933456077,26.9785703754744,17.8521206185908
"HVO_RS00130",12.4586979914363,7.44424293809592,7.41854312236213,5.05848194540145,11.9014137457272
"HVO_RS00135",161.963073888672,179.725293791173,325.74148437281,343.133691963065,286.824071272025
"HVO_RS00140",22.1487964292201,18.0788757068044,19.5579773225911,15.1754458362044,15.4718378694454
"HVO_RS00145",125.971279691189,125.48866667076,289.323181772123,254.61025791854,242.788840412835
"HVO_RS00150",15.2272975450888,28.7135084755128,14.1626732336004,21.920088430073,14.2816964948726
"HVO_RS00155",4.15289933047876,1.06346327687085,9.44178215573363,7.58772291810218,8.33098962200904
"HVO_RS00160",0,0,3.37206505561915,0.843080324233576,1.19014137457272
"HVO_RS00165",0,1.06346327687085,0,1.68616064846715,0
"HVO_RS00170",0,2.12692655374169,2.69765204449532,3.3723212969343,2.38028274914544
"HVO_RS00180",51.2190917425714,45.7289209054464,30.3485855005724,21.0770081058394,19.0422619931635
"HVO_RS00185",657.542393992471,651.902988721829,287.299942738752,250.394856297372,272.542374777153
"HVO_RS00190",351.612143313869,379.656389842892,329.787962439553,281.588828294014,359.422695120961
"HVO_RS00195",329.463346884648,386.037169504117,3430.0645745758,7269.88163586612,2529.05042096703
"HVO_RS00200",415.289933047876,461.543062161947,3945.31611507441,8218.3470006289,3327.63528330532
"HVO_RS00205",311.467449785907,372.212146904796,2898.62712181022,5174.82703014569,2462.40250399096
"HVO_RS00210",1259.71279691189,1434.61196049877,11893.2734511687,19751.6858361442,10225.6946903288
"HVO_RS00215",3678.08450702736,3293.54576846901,25804.39063162,34674.2075750785,23906.3697910422
"HVO_RS00220",4132.13483382637,3892.2755933473,29902.7985002195,36107.4441262756,26058.1453962697
"HVO_RS00225",13510.7658218242,13404.954604957,28896.5742876228,28279.4433157668,25636.8353496709
"HVO_RS00230",121.81838036071,95.7116949183762,153.091753525109,166.929904198248,145.197247697872
"HVO_RS00235",67.8306890644864,59.5539435047674,62.7204100345162,86.8372733960583,45.2253722337633
"HVO_RS00245",2379.61131636433,2280.06526561109,3455.01785598738,3256.8192925143,2852.76887485081
"HVO_RS00250",95.5166846010115,69.125112996605,115.999037913299,260.511820188175,111.873289209836
"HVO_RS00255",22.1487964292201,25.5231186449003,39.790367656306,97.7973176110948,41.6549481100452
"HVO_RS00260",150.888675674062,189.296463283011,246.835162071322,446.832571843795,205.89445780108
"HVO_RS00265",152.272975450888,124.425203393889,173.998556869948,386.130788498978,147.577530447017
"HVO_RS00270",74.7521879486177,58.4904802278965,84.9760394016026,164.400663225547,74.9789065980813
"HVO_RS00280",401.446935279614,379.656389842892,548.297778043674,918.957553414597,464.155136083361
"HVO_RS00295",696.302787743606,582.777875725224,828.179177660064,1118.76759025795,652.19747326585
"HVO_RS00305",101.053883708317,82.950135595926,173.998556869948,231.847089164233,122.58456158099
"HVO_RS00310",668.616792207081,611.491384200737,1323.87274083608,1568.97248339868,850.951082819494
"HVO_RS00315",369.60804041261,286.071621478258,633.948230456401,689.639705223065,447.493156839342
"HVO_RS00320",121.81838036071,170.154124299335,317.648528239324,344.819852611532,283.253647148307
"HVO_RS00325",299.008751794471,259.485039556486,242.114270993455,252.924097270073,210.655023299371
"HVO_RS00330",40.1446935279614,34.0308248598671,92.3945825239648,106.228120853431,69.0281997252177
"HVO_RS00335",329.463346884648,276.50045198642,531.437452765578,482.241945461605,439.162167217333
"HVO_RS00340",438.823029253923,482.812327699364,720.947508891375,689.639705223065,706.943976496195
"HVO_RS00345",908.100653598023,930.53036726199,1016.34040776361,1022.65643329533,1075.88780261374
"HVO_RS00350",88.5951857168803,105.282864410214,180.068273970063,173.674546792117,172.570499313044
"HVO_RS00355",19.3801968755676,41.475067797963,58.6739319677732,60.7017833448174,49.9859377320542
"HVO_RS00360",37.3760939743089,25.5231186449003,41.1391936785537,48.8986588055474,40.4648067354725
"HVO_RS00365",31.8388948670038,40.4116045210922,47.2089107786681,56.4863817236496,55.9366446049178
"HVO_RS00370",66.4463892876602,56.3635536741548,53.9530408899064,65.7602652902189,65.4577756014996
"HVO_RS00375",38.7603937511351,43.6019943517047,42.4880197008013,43.8401768601459,33.3239584880361
"HVO_RS00380",19.3801968755676,15.9519491530627,23.6044553893341,27.821650699708,16.6619792440181
"HVO_RS00385",40.1446935279614,31.9038983061254,39.790367656306,32.8801326451094,47.6056549829088
"HVO_RS00390",22.1487964292201,19.1423389836752,35.0694765784392,30.3508916724087,34.5140998626089
"HVO_RS00395",77.5207875022702,98.9020847489887,60.0227579900209,47.2124981570802,66.6479169760723
"HVO_RS00400",78.9050872790965,97.8386214721178,93.7434085462124,130.677450256204,130.915551202999
"HVO_RS00405",116.281181253405,131.869446331985,180.068273970063,200.653117167591,153.528237319881
"HVO_RS00410",55.3719910730502,39.3481412442213,68.1157141235069,73.3479882083211,67.838058350645
"HVO_RS00415",17.9958970987413,35.0942881367379,45.8600847564205,47.2124981570802,59.507068728636
"HVO_RS00420",65.0620895108339,42.5385310748338,105.882842746441,110.443522474598,97.591592714963
"HVO_RS00425",24.9173959828726,31.9038983061254,16.8603252780958,21.0770081058394,19.0422619931635
"HVO_RS00430",2.76859955365251,1.06346327687085,16.1859122669719,24.4493294027737,10.7112723711545
"HVO_RS00435",5.53719910730502,12.7615593224502,28.3253464672009,42.9970965359124,36.8943826117543
"HVO_RS00440",8.30579866095752,2.12692655374169,18.2091513003434,10.9600442150365,5.9507068728636
"HVO_RS00445",11.07439821461,19.1423389836752,24.2788684004579,16.0185261604379,26.1831102405998
"HVO_RS00450",23.5330962060463,42.5385310748338,66.7668881012592,71.6618275598539,59.507068728636
"HVO_RS00455",9.69009843778378,12.7615593224502,15.5114992558481,9.27388356656933,16.6619792440181
"HVO_RS00460",398.678335725961,433.893016963305,588.762558711104,531.140604267153,654.577756014996
"HVO_RS00465",85.8265861632277,104.219401133343,141.626732336004,134.049771553139,167.809933814753
"HVO_RS00470",19.3801968755676,11.6980960455793,12.8138472113528,20.2339277816058,14.2816964948726
"HVO_RS00475",1.38429977682625,2.12692655374169,7.41854312236213,3.3723212969343,5.9507068728636
"HVO_RS00480",47.0661924120926,71.2520395503467,61.3715840122686,74.1910685325547,70.2183410997904
"HVO_RS00485",188.264769648371,172.281050853077,214.463337537378,177.889948413284,177.331064811335
"HVO_RS00490",683.844089752169,629.570259907541,652.831794767868,665.190375820291,578.408708042342
"HVO_RS00495",31.8388948670038,37.2212146904796,75.534257245869,69.1325865871532,92.8310272166721
"HVO_RS00500",2.76859955365251,6.38077966122508,7.41854312236213,7.58772291810218,8.33098962200904
"HVO_RS00505",37.3760939743089,45.7289209054464,54.6274539010303,59.0156226963503,60.6972101032087
"HVO_RS00515",8.30579866095752,9.57116949183762,14.1626732336004,15.1754458362044,9.52113099658176
"HVO_RS00520",1.38429977682625,0,2.02323903337149,3.3723212969343,7.14084824743632
"HVO_RS00525",0,1.06346327687085,2.02323903337149,2.52924097270073,0
"HVO_RS00530",48.4504921889189,42.5385310748338,47.883323789792,43.8401768601459,36.8943826117543
"HVO_RS00545",124.586979914363,130.805983055114,295.392898872238,318.684362560292,309.436757388907
"HVO_RS00550",1281.86159334111,1247.4424237695,1171.45540032209,1072.39817242511,1316.29636027743
"HVO_RS00565",1812.04840786557,1661.12963847226,1241.59435347897,1299.18677964394,1437.69078048384
"HVO_RS00570",3250.33587598804,3631.72709051394,4030.29215447601,4642.8433455543,4324.97375519726
"HVO_RS00575",70.599288618139,65.9347231659925,70.1389531568784,93.5819159899269,51.1760791066269
"HVO_RS00580",2.76859955365251,2.12692655374169,1.34882602224766,5.90156226963503,5.9507068728636
"HVO_RS00585",2.76859955365251,0,0.67441301112383,0.843080324233576,1.19014137457272
"HVO_RS00590",0,2.12692655374169,1.34882602224766,0.843080324233576,0
"HVO_RS00595",2.76859955365251,0,3.37206505561915,0,3.57042412371816
"HVO_RS00600",0,3.19038983061254,0,1.68616064846715,3.57042412371816
"HVO_RS00605",0,1.06346327687085,0,0.843080324233576,0
"HVO_RS00610",11.07439821461,13.825022599321,7.41854312236213,12.6462048635036,15.4718378694454
"HVO_RS00615",145.351476566757,118.044423732664,59.3483449788971,64.0741046417517,63.0774928523541
"HVO_RS00620",95.5166846010115,69.125112996605,53.9530408899064,48.0555784813138,52.3662204811997
"HVO_RS00630",1291.5516917789,1393.13689270081,1167.40892225535,1275.5805305654,1207.99349519131
"HVO_RS00635",892.873356052934,790.153214715039,840.318611860293,937.505320547736,823.577831204322
"HVO_RS00640",14262.4406006409,12542.4858874148,13733.7465585257,12572.8568752953,14103.1752886867
"HVO_RS00645",1831.42860474113,1665.38349157974,3774.01521024895,3305.71795131985,3000.34640529783
"HVO_RS00650",3315.39796549888,3210.59563287308,4720.21666485569,3711.2395872762,3866.76932598677
"HVO_RS00655",3307.09216683792,3623.21938429897,4450.45146040616,4113.38890193562,3779.88900564296
"HVO_RS00660",76.136487725444,53.1731638435423,169.952078803205,134.892851877372,141.626823574154
"HVO_RS00665",256.095458712857,250.97733334152,206.370381403892,229.317848191533,198.753609553644
"HVO_RS00670",750.29047903983,654.02991527557,838.295372826921,1080.82897566744,986.627199520784
"HVO_RS00675",1884.03199626053,1486.72166106544,1332.64010998069,1324.47918937095,1531.71194907509
"HVO_RS00680",519.112416309845,462.606525438818,708.808074691146,773.104657322189,661.718604262432
"HVO_RS00685",390.372537065004,341.371711875542,721.621921902498,865.843492987882,665.28902838615
"HVO_RS00690",725.373083056957,647.649135614345,1058.15401445329,1053.00732496774,878.324334434667
"HVO_RS00695",3493.97263670946,3492.41340124386,2813.65108240862,3220.56683857226,2937.26891244547
"HVO_RS00700",1935.2510880031,2137.5611865104,4649.40329868769,3553.58356664452,3397.85362440511
"HVO_RS00705",74.7521879486177,109.536717517697,156.463818580729,170.302225495182,155.908520069026
"HVO_RS00710",239.483861390942,295.642790970095,362.834199984621,395.404672065547,354.66212962267
"HVO_RS00715",135.661378128973,149.948322038789,257.625770249303,300.136595427153,224.936719794244
"HVO_RS00720",5865.27815441284,19503.9164978113,10673.9347270569,10288.1091966223,9742.49729225228
"HVO_RS00725",705.99288618139,758.249316408913,2710.46589170667,3293.07174645635,2593.31805519396
"HVO_RS00735",12.4586979914363,9.57116949183762,12.8138472113528,6.74464259386861,9.52113099658176
"HVO_RS00745",69.2149888413127,80.8232090421843,155.789405569605,239.434812082335,101.162016838681
"HVO_RS00750",382.066738404046,423.258384194597,973.852388062811,914.74215179343,787.87358996714
"HVO_RS00755",649.236595331513,802.914774037489,1223.38520217863,1282.32517315927,1227.03575718447
"HVO_RS00760",822.274067434795,801.851310760618,1708.96257018779,1949.20170962803,1522.19081807851
"HVO_RS00765",69.2149888413127,73.3789661040884,83.627213379355,82.6218717748904,70.2183410997904
"HVO_RS00770",520.496716086672,629.570259907541,270.439617460656,288.333470887883,398.697360481861
"HVO_RS00775",26.3016957596988,27.650045198642,48.5577368009158,35.4093736178102,40.4648067354725
"HVO_RS00780",268.554156704293,300.960107354449,378.345699240469,366.739941041605,361.802977870107
"HVO_RS00785",15.2272975450888,14.8884858761918,16.1859122669719,12.6462048635036,21.4225447423089
"HVO_RS00790",11.07439821461,17.0154124299335,18.2091513003434,16.8616064846715,22.6126861168817
"HVO_RS00795",30.4545950901776,36.1577514136088,45.8600847564205,37.0955342662773,47.6056549829088
"HVO_RS00800",1.38429977682625,2.12692655374169,1.34882602224766,1.68616064846715,2.38028274914544
"HVO_RS00805",24.9173959828726,47.8558474591881,47.883323789792,47.2124981570802,42.8450894846179
"HVO_RS00810",42.9132930816139,32.9673615829962,41.8136066896775,33.723212969343,39.2746653608997
"HVO_RS00815",2.76859955365251,9.57116949183762,10.7906081779813,10.1169638908029,9.52113099658176
"HVO_RS00820",22.1487964292201,21.2692655374169,24.2788684004579,16.8616064846715,17.8521206185908
"HVO_RS00825",40.1446935279614,41.475067797963,66.0924750901354,66.6033456144525,55.9366446049178
"HVO_RS00830",12.4586979914363,10.6346327687085,20.2323903337149,16.0185261604379,11.9014137457272
"HVO_RS00835",30.4545950901776,36.1577514136088,55.9762799232779,59.0156226963503,38.084523986327
"HVO_RS00840",59.5248904035289,90.3943785340219,206.370381403892,147.539056740876,171.380357938472
"HVO_RS00850",47.0661924120926,58.4904802278965,103.185190701946,96.1111569626276,77.3591893472268
"HVO_RS00855",199.339167862981,185.042610175527,250.881640138065,240.277892406569,277.302940275444
"HVO_RS00860",4.15289933047876,3.19038983061254,1.34882602224766,3.3723212969343,5.9507068728636
"HVO_RS00865",0,0,0.67441301112383,0.843080324233576,0
"HVO_RS00870",0,1.06346327687085,1.34882602224766,0.843080324233576,3.57042412371816
"HVO_RS00875",1.38429977682625,8.50770621496677,2.69765204449532,5.05848194540145,4.76056549829088
"HVO_RS00880",0,1.06346327687085,1.34882602224766,0.843080324233576,3.57042412371816
"HVO_RS00885",0,0,1.34882602224766,1.68616064846715,1.19014137457272
"HVO_RS00890",22.1487964292201,22.3327288142878,28.9997594783247,38.7816949147445,26.1831102405998
"HVO_RS00895",150.888675674062,193.550316390494,209.742446459511,181.262269710219,185.662054433344
"HVO_RS00900",65.0620895108339,44.6654576285755,184.78916504793,185.477671331387,146.387389072444
"HVO_RS00905",375.145239519915,322.229372891866,459.949673586452,556.43301399416,415.359339725879
"HVO_RS00910",35.9917941974826,27.650045198642,89.0225174683456,121.403566689635,55.9366446049178
"HVO_RS00915",29.0702953133513,30.8404350292545,41.8136066896775,67.446425938686,44.0352308591906
"HVO_RS00920",16.611597321915,18.0788757068044,35.743889589563,18.5477671331387,22.6126861168817
"HVO_RS00925",73.3678881717915,40.4116045210922,52.6042148676588,48.0555784813138,63.0774928523541
"HVO_RS00930",15.2272975450888,17.0154124299335,12.1394342002289,8.43080324233576,14.2816964948726
"HVO_RS00935",13.8429977682625,12.7615593224502,17.5347382892196,16.8616064846715,16.6619792440181
"HVO_RS00940",113.512581699753,114.854033902051,153.766166536233,162.71450257708,152.338095945308
"HVO_RS00945",3153.43489161021,2016.32637294712,1264.52439585718,1642.32047160701,3922.70597059168
"HVO_RS00950",13347.4184481587,10754.8041189949,3082.0674608359,3764.35364770292,9981.7157085414
"HVO_RS00955",4497.5899749085,3965.65455945139,4608.26410500913,4647.05874717547,4858.15709100584
"HVO_RS00965",123.202680137537,162.709881361239,244.137510026827,263.041061160876,210.655023299371
"HVO_RS00970",6093.68761758917,5829.90568380598,16758.4889134161,18153.2055413974,13464.0693705412
"HVO_RS00975",25480.8059920409,25786.8575375643,47227.1199299685,46742.9024164821,40515.9828145791
"HVO_RS00980",30.4545950901776,39.3481412442213,74.8598442347452,80.9357111264233,70.2183410997904
"HVO_RS00985",1287.39879244842,1286.79056501372,1549.12668655144,1457.68588059985,1298.44423965884
"HVO_RS00990",30.4545950901776,30.8404350292545,57.3251059455256,54.8002210751824,40.4648067354725
"HVO_RS00995",30.4545950901776,46.7923841823172,53.2786278787826,67.446425938686,44.0352308591906
"HVO_RS01000",9.69009843778378,14.8884858761918,20.2323903337149,16.8616064846715,20.2324033677362
"HVO_RS01005",15.2272975450888,10.6346327687085,18.8835643114673,17.7046868089051,14.2816964948726
"HVO_RS01010",2.76859955365251,5.31731638435423,4.04647806674298,4.21540162116788,2.38028274914544
"HVO_RS01015",1.38429977682625,2.12692655374169,0,1.68616064846715,0
"HVO_RS01025",1.38429977682625,1.06346327687085,4.04647806674298,3.3723212969343,8.33098962200904
"HVO_RS01030",0,3.19038983061254,0,0,0
"HVO_RS01035",0,3.19038983061254,4.04647806674298,5.90156226963503,0
"HVO_RS01040",8.30579866095752,6.38077966122508,22.2556293670864,12.6462048635036,10.7112723711545
"HVO_RS01045",11.07439821461,5.31731638435423,6.06971710011447,4.21540162116788,5.9507068728636
"HVO_RS01050",8.30579866095752,19.1423389836752,15.5114992558481,9.27388356656933,13.0915551202999
"HVO_RS01055",4.15289933047876,5.31731638435423,0.67441301112383,5.05848194540145,2.38028274914544
"HVO_RS01060",2.76859955365251,2.12692655374169,2.69765204449532,1.68616064846715,5.9507068728636
"HVO_RS01065",85.8265861632277,96.775158195247,84.3016263904788,96.9542372868612,95.2113099658175
"HVO_RS01070",6.92149888413127,19.1423389836752,26.3021074338294,35.4093736178102,26.1831102405998
"HVO_RS01075",16.611597321915,28.7135084755128,13.4882602224766,14.3323655119708,10.7112723711545
"HVO_RS01080",2.76859955365251,7.44424293809592,4.04647806674298,4.21540162116788,3.57042412371816
"HVO_RS01085",0,2.12692655374169,0.67441301112383,0.843080324233576,3.57042412371816
"HVO_RS01090",1.38429977682625,1.06346327687085,1.34882602224766,1.68616064846715,0
"HVO_RS01095",38.7603937511351,21.2692655374169,39.790367656306,45.5263375086131,32.1338171134634
"HVO_RS01100",37.3760939743089,80.8232090421843,105.208429735318,109.600442150365,90.4507444675267
"HVO_RS01105",41.5289933047876,37.2212146904796,64.7436490678877,59.0156226963503,80.9296134709449
"HVO_RS01110",37.3760939743089,34.0308248598671,37.7671286229345,30.3508916724087,38.084523986327
"HVO_RS01120",94.1323848241853,118.044423732664,194.230947203663,242.80713337927,159.478944192744
"HVO_RS01125",9.69009843778378,19.1423389836752,20.9068033448387,33.723212969343,38.084523986327
"HVO_RS01130",2.76859955365251,3.19038983061254,8.76736914460979,5.05848194540145,8.33098962200904
"HVO_RS01135",1.38429977682625,1.06346327687085,1.34882602224766,3.3723212969343,7.14084824743632
"HVO_RS01140",30.4545950901776,44.6654576285755,24.2788684004579,27.821650699708,26.1831102405998
"HVO_RS01145",41.5289933047876,45.7289209054464,51.2553888454111,65.7602652902189,51.1760791066269
"HVO_RS01150",2.76859955365251,2.12692655374169,0.67441301112383,0,0
"HVO_RS01155",4.15289933047876,2.12692655374169,4.72089107786681,5.05848194540145,8.33098962200904
"HVO_RS01165",11.07439821461,24.4596553680295,47.883323789792,51.4278997782481,27.3732516151725
"HVO_RS01170",5.53719910730502,4.25385310748338,12.8138472113528,15.1754458362044,5.9507068728636
"HVO_RS01175",42.9132930816139,52.1097005666715,39.790367656306,34.5662932935766,39.2746653608997
"HVO_RS01180",0,2.12692655374169,2.69765204449532,5.90156226963503,5.9507068728636
"HVO_RS01185",290.702953133513,322.229372891866,379.694525262716,489.829668379707,293.964919519462
"HVO_RS01190",153.657275227714,179.725293791173,248.858401104693,300.979675751386,284.44378852288
"HVO_RS01195",1.38429977682625,1.06346327687085,5.39530408899064,9.27388356656933,2.38028274914544
"HVO_RS01200",19.3801968755676,12.7615593224502,31.0229985116962,34.5662932935766,21.4225447423089
"HVO_RS01210",15.2272975450888,8.50770621496677,22.9300423782102,29.5078113481751,24.9929688660271
"HVO_RS01215",653.389494661992,663.601084767408,377.671286229345,324.585924829927,324.908595258352
"HVO_RS01230",13.8429977682625,7.44424293809592,13.4882602224766,22.7631687543065,20.2324033677362
"HVO_RS01235",670.001091983907,704.0126892885,969.131496984944,1053.00732496774,1015.19059251053
"HVO_RS01240",137.045677905799,152.075248592531,151.742927502862,144.166735443941,179.711347560481
"HVO_RS01245",398.678335725961,379.656389842892,336.532092550791,316.998201911824,336.81000900408
"HVO_RS01250",109.359682369274,120.171350286406,161.859122669719,169.459145170949,157.098661443599
"HVO_RS01255",9.69009843778378,7.44424293809592,14.8370862447243,15.1754458362044,8.33098962200904
"HVO_RS01260",55.3719910730502,49.9827740129298,98.4642996240792,89.366514368759,63.0774928523541
"HVO_RS01265",2.76859955365251,5.31731638435423,7.41854312236213,5.05848194540145,0
"HVO_RS01270",22.1487964292201,28.7135084755128,24.9532814115817,29.5078113481751,22.6126861168817
"HVO_RS01275",1.38429977682625,6.38077966122508,4.04647806674298,4.21540162116788,1.19014137457272
"HVO_RS01280",5.53719910730502,20.2058022605461,14.1626732336004,8.43080324233576,11.9014137457272
"HVO_RS01285",11.07439821461,10.6346327687085,10.1161951668575,11.8031245392701,8.33098962200904
"HVO_RS01290",5.53719910730502,5.31731638435423,8.09295613348596,10.9600442150365,9.52113099658176
"HVO_RS01295",233.946662283637,228.644604527232,339.229744595287,295.078113481751,384.415663986988
"HVO_RS01300",70.599288618139,73.3789661040884,95.0922345684601,78.4064701537225,105.922582336972
"HVO_RS01305",530.186814524455,474.304621484397,738.482247180594,644.956448038685,768.831327973977
"HVO_RS01310",225.640863622679,238.21577401907,277.858160583018,225.945526894598,247.549405911126
"HVO_RS01315",70.599288618139,59.5539435047674,74.1854312236213,69.9756669113868,67.838058350645
"HVO_RS01330",105.206783038795,178.661830514302,246.835162071322,261.354900512408,214.225447423089
"HVO_RS01335",120.434080583884,124.425203393889,131.510537169147,171.988386143649,136.866258075863
"HVO_RS01340",121.81838036071,132.932909608856,202.998316348273,145.852896092409,177.331064811335
"HVO_RS01345",106.591082815622,133.996372885727,70.1389531568784,82.6218717748904,127.345127079281
"HVO_RS01350",1974.01148175424,2007.81866673216,629.901752389658,637.368725120583,820.007407080604
"HVO_RS01355",642.315096447382,556.191293803452,575.948711499751,512.592837134014,534.373477183151
"HVO_RS01365",69.2149888413127,85.0770621496677,89.6969304794694,101.169638908029,70.2183410997904
"HVO_RS01370",962.088344894247,925.213050877636,1503.94101480614,1311.83298450744,1391.27526687551
"HVO_RS01380",1085.29102503178,1166.61921472732,1515.40603599525,1348.08543844949,1524.57110082765
"HVO_RS01385",164.731673442324,164.836807914981,338.555331584163,295.921193805985,265.401526529716
"HVO_RS01390",467.893324567274,466.860378546301,642.71559960101,734.322962407444,554.605880550887
"HVO_RS01395",957.935445563768,946.482316415053,273.137269505151,257.982579215474,317.767747010916
"HVO_RS01405",447.12882791488,508.335446344264,528.739800721083,464.5372586527,426.070612097034
"HVO_RS01410",527.418214970803,501.954666683039,412.06634979666,458.635696383065,379.655098488697
"HVO_RS01415",191.033369202023,163.77334463811,217.160989581873,306.881238021022,148.76767182159
"HVO_RS01420",27.6859955365251,28.7135084755128,43.836845723049,70.8187472356204,23.8028274914544
"HVO_RS01425",19.3801968755676,17.0154124299335,15.5114992558481,33.723212969343,4.76056549829088
"HVO_RS01435",168.884572772803,159.519491530627,264.369900360541,243.650213703503,220.176154295953
"HVO_RS01440",6.92149888413127,29.7769717523837,66.0924750901354,90.2095946929926,66.6479169760723
