"","Locus","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","HVO_RS18640",4677.52670592143,-2.76095503323237,0.117179421866584,-23.5617738102164,9.50828617637706e-123,3.59698466052344e-119
"2","HVO_RS07285",74327.0086234567,-3.03358711955749,0.147609825340007,-20.5513902111182,7.47904565871661e-94,9.43107657564165e-91
"3","HVO_RS00220",20018.5596899877,2.93546350830205,0.151291398194082,19.40271253582,7.32049414941952e-84,4.61557156120901e-81
"4","HVO_RS07290",3455.17264145734,3.50982826589945,0.189143510208741,18.5564297819468,7.23563428357307e-77,3.91034349925099e-74
"5","HVO_RS00215",18271.3196546474,3.01271198338159,0.170475125516545,17.6724432626342,6.83705110967875e-70,3.23307054348934e-67
"6","HVO_RS20800",623.276473621253,-2.82817390331158,0.165424263564601,-17.0964877967078,1.57621541938567e-65,6.62535881281776e-63
"7","trpD",589.750352125163,3.17222358360886,0.191715912196451,16.5464804004286,1.69740287598359e-61,4.93944236911226e-59
"8","HVO_RS14755",351.195304753448,3.33261085098366,0.220923494453349,15.0849091864577,2.0355451479118e-51,4.81279205909397e-49
"9","trpE",812.807472228737,3.1714290079663,0.210988936933575,15.0312573448567,4.58224845911123e-51,1.01968505416575e-48
"10","HVO_RS16495",10450.0767862645,-2.63496347909322,0.201922712032418,-13.049366525298,6.40779789720524e-39,1.01002914354698e-36
"11","HVO_RS16540",347.887093566851,3.16383961288875,0.259251572694732,12.203743182743,2.96856863259307e-34,3.40305913245442e-32
"12","HVO_RS16530",369.363722414187,2.9031566594796,0.247657038128042,11.7224880077046,9.775808027458e-32,9.48253378663426e-30
"13","HVO_RS12965",2287.89977634765,-5.20893278552387,0.525588631540951,-9.91066486779218,3.74147973545124e-23,2.08147321164883e-21
"14","HVO_RS14930",168.836888952224,2.72344996524399,0.275624276267519,9.88102355178839,5.03163054266641e-23,2.64370254762598e-21
"15","HVO_RS12960",3164.79726548537,-5.589368804734,0.57599086560789,-9.70391917384849,2.90134909874136e-22,1.42542904422579e-20
"16","queC",1534.25985372319,-5.32967698890744,0.559756989006911,-9.52141213701153,1.70841519158546e-21,7.51504031368348e-20
"17","HVO_RS00210",8912.99574701049,3.37288589550034,0.398127576892859,8.4718720612715,2.41480280396537e-17,6.21442109347007e-16
"18","HVO_RS00205",2243.90725052751,3.36047166364412,0.456115281132489,7.36759280526713,1.73736487615234e-13,2.57743189273894e-12
"19","HVO_RS08835",947.642622791097,-8.17451722921731,1.12711322333072,-7.25261407639321,4.08803672468411e-13,5.79215090991759e-12
"20","HVO_RS14925",64.5148979901094,2.69151316417508,0.37143585148949,7.24623956837198,4.28501913347172e-13,6.00378791923093e-12
"21","HVO_RS16490",12454.1396360009,-2.66048690837418,0.409974791607594,-6.48939145243996,8.61837734860091e-11,8.6942190692686e-10
"22","HVO_RS00200",3273.62627884369,3.55793957436652,0.557557255827878,6.38129902745787,1.75592052337775e-10,1.70762142414859e-09
"23","HVO_RS00195",2788.89942955954,3.62347045545545,0.619863832206281,5.84559102691705,5.04772815251155e-09,4.0201169686213e-08
"24","HVO_RS14905",17.520646838547,2.59409562391512,0.727290321411538,3.56679519518485,0.000361373687784233,0.00122388241798366
"25","HVO_RS14225",10.9769209697686,3.84862948307797,1.14728641922721,3.35454984786653,0.000794942291652577,0.00249358763625348
"26","HVO_RS00430",11.0357153742847,3.24098393078901,1.01426953235522,3.19538724905122,0.00139643333642218,0.00413357379631072
"27","HVO_RS20575",7.89202040287537,-2.76075301823018,0.873383691577784,-3.16098530903735,0.00157236428642455,0.00459355828005702
