"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","X","X.1","ID"
"129","41",0.367281445081037,0.265438116270475,0.121548964072664,-7.88115387662401,5.70261693177058,14.8180445357784,14.6411854166667,0.00747954994292759,"SH121","TroRHA","PR","--Fe",2,1,NA,NA,"TroRHA (--Fe)"
"130","42",0.395673121110939,0.265082557169624,0.066948116005988,-10.5749704929781,10.3534979311135,14.8080701439848,14.6231529166667,0.0100180253971801,"SH121","TroRHA","PR","--Fe",3,1,NA,NA,"TroRHA (--Fe)"
"131","43",0.35029248576436,0.244446871170774,0.126388047984688,-6.62259158589926,5.48427791719609,14.0706807444568,13.9013836111111,0.00792042754972089,"SH121","TroRHA","PR","--Fe",1,2,NA,NA,"TroRHA (--Fe)"
"132","44",0.352605209834526,0.244074639917856,0.113886779768974,-7.11620960555093,6.08628307838747,14.033309466097,13.8641288888889,0.00872205164087232,"SH121","TroRHA","PR","-Fe",2,2,NA,NA,"TroRHA (-Fe)"
"133","45",0.35984169009009,0.248138168109031,0.102194423726306,-7.80999055624229,6.78263211715258,14.1839745235091,14.0128795833333,0.00884494856060655,"SH121","TroRHA","PR","-Fe",3,2,NA,NA,"TroRHA (-Fe)"
"134","46",0.349977688602584,0.250908787886947,0.137039815091737,-6.78105047577943,5.05799851011139,14.2019551305794,14.0326469444444,0.00714043465697756,"SH121","TroRHA","PR","-Fe",1,3,NA,NA,"TroRHA (-Fe)"
"135","47",0.356085489126604,0.253068635675548,0.152694837822885,-5.88604141058525,4.53942772684918,14.5166077850591,14.3453952777778,0.00761444285360533,"SH121","TroRHA","PR","-Fe",2,3,NA,NA,"TroRHA (-Fe)"
"136","48",0.361886566308708,0.254463455390475,0.121049811539151,-7.12419025341805,5.7261318439621,14.5151942416652,14.3416386111111,0.00898130073702916,"SH121","TroRHA","PR","-Fe",3,3,NA,NA,"TroRHA (-Fe)"
"147","58",0.820562132726441,0.216693127515569,0.0756737050636105,13.5433450893167,9.15968340624122,21.9544735120893,21.6108690277778,0.0145556856071072,"H26","pyrE","PR","100microMFe",1,1,NA,NA,"pyrE (100microMFe)"
"148","59",0.778654164619671,0.219924392451913,0.0818017293530417,11.3980735382823,8.47350277362041,22.1395231905815,21.8048756944444,0.0163911243150178,"H26","pyrE","PR","100microMFe",2,1,NA,NA,"pyrE (100microMFe)"
