"","ID","strain","name","condition","time","reps","average","sd","sem","CI95"
"1","arsR(--Fe)","AKS338","arsR","(--Fe)",0,3,0,0,0,0
"2","arsR(--Fe)","AKS338","arsR","(--Fe)",0.501666666666667,3,0.000581282947450329,4.35104288532465e-05,2.51207578109779e-05,0.000108085897168779
"3","arsR(--Fe)","AKS338","arsR","(--Fe)",1.00166666666667,3,0.00115257913179055,8.50171124412469e-05,4.90846527536786e-05,0.000211194215159419
"4","arsR(--Fe)","AKS338","arsR","(--Fe)",1.50166666666667,3,0.00171586317188566,0.000124693773554388,7.19919837278964e-05,0.000309756505306912
"5","arsR(--Fe)","AKS338","arsR","(--Fe)",2.00166666666667,3,0.00227116823058277,0.000162567832386475,9.38585817899056e-05,0.00040384088314875
"6","arsR(--Fe)","AKS338","arsR","(--Fe)",2.50166666666667,3,0.00281853050257196,0.000198668032441722,0.000114701042009601,0.000493518751507719
"7","arsR(--Fe)","AKS338","arsR","(--Fe)",3.00166666666667,3,0.00335798909569069,0.00023302439405965,0.000134536696638088,0.000578864685041346
"8","arsR(--Fe)","AKS338","arsR","(--Fe)",3.50166666666667,3,0.00388958591273789,0.000265668169931966,0.000153383589425336,0.000659956319739692
"9","arsR(--Fe)","AKS338","arsR","(--Fe)",4.00166666666667,3,0.00441336553398463,0.000296631802796102,0.000171260451194534,0.000736874247830285
"10","arsR(--Fe)","AKS338","arsR","(--Fe)",4.50166666666667,3,0.00492937510055937,0.000325948885484236,0.000188186676776382,0.000809701918534379
"11","arsR(--Fe)","AKS338","arsR","(--Fe)",5.00166666666667,3,0.00543766419887446,0.000353654123499158,0.00020418230340226,0.000878525545100268
"12","arsR(--Fe)","AKS338","arsR","(--Fe)",5.50166666666667,3,0.00593828474625061,0.000379783300280047,0.000219267990650409,0.000943434018518664
"13","arsR(--Fe)","AKS338","arsR","(--Fe)",6.00166666666667,3,0.0064312908778846,0.000404373245312421,0.000233465002034209,0.00100451882830345
"14","arsR(--Fe)","AKS338","arsR","(--Fe)",6.50166666666667,3,0.00691673883529826,0.00042746180522186,0.000246795188313124,0.0010618739906845
"15","arsR(--Fe)","AKS338","arsR","(--Fe)",7.00166666666667,3,0.00739468685639207,0.00044908781798119,0.000259280972601222,0.00111559598453474
"16","arsR(--Fe)","AKS338","arsR","(--Fe)",7.50166666666667,3,0.00786519506722152,0.000469291090338195,0.00027094533733505,0.00116578369529754
"17","arsR(--Fe)","AKS338","arsR","(--Fe)",8.00166666666667,3,0.00832832537560184,0.000488112378554064,0.000281811813152977,0.0012125383671383
"18","arsR(--Fe)","AKS338","arsR","(--Fe)",8.50166666666667,3,0.00878414136663792,0.000505593372514515,0.000291904469721746,0.00125596356347434
"19","arsR(--Fe)","AKS338","arsR","(--Fe)",9.00166666666667,3,0.00923270820026787,0.000521776683243405,0.00030124790852745,0.00129616513595695
"20","arsR(--Fe)","AKS338","arsR","(--Fe)",9.50166666666667,3,0.00967409251089859,0.000536705833811319,0.000309867257626607,0.0013332512018871
"21","arsR(--Fe)","AKS338","arsR","(--Fe)",10.0016666666667,3,0.0101083623092042,0.000550425253583072,0.000317788168324955,0.00136733212992545
"22","arsR(--Fe)","AKS338","arsR","(--Fe)",10.5016666666667,3,0.0105355868861489,0.000562980275691329,0.000325036813718839,0.00139852053381643
"23","arsR(--Fe)","AKS338","arsR","(--Fe)",11.0016666666667,3,0.0109558367192887,0.000574417137555246,0.000331639888994656,0.00142693127367666
"24","arsR(--Fe)","AKS338","arsR","(--Fe)",11.5016666666667,3,0.0113691833813976,0.000584782984180176,0.000337624613333937,0.00145268146419187
"25","arsR(--Fe)","AKS338","arsR","(--Fe)",12.0016666666667,3,0.0117756994514587,0.000594125873875732,0.000343018733214676,0.00147589048882133
"26","arsR(--Fe)","AKS338","arsR","(--Fe)",12.5016666666667,3,0.0121754584280494,0.000602494785916585,0.000347850526834286,0.00149668001882833
"27","arsR(--Fe)","AKS338","arsR","(--Fe)",13.0016666666667,3,0.0125685346451491,0.000609939629531532,0.000352148809299451,0.0015151740356103
"28","arsR(--Fe)","AKS338","arsR","(--Fe)",13.5016666666667,3,0.0129550031903855,0.000616511253453996,0.000355942938140098,0.00153149885442354
"29","arsR(--Fe)","AKS338","arsR","(--Fe)",14.0016666666667,3,0.0133349398257338,0.00062226145508305,0.000359262818598527,0.00154578314714044
"30","arsR(--Fe)","AKS338","arsR","(--Fe)",14.5016666666667,3,0.013708420910675,0.000627242988106337,0.000362138908030499,0.00155815796118592
"31","arsR(--Fe)","AKS338","arsR","(--Fe)",15.0016666666667,3,0.0140755233278143,0.00063150956720472,0.000364602218621469,0.00156875673122437
"32","arsR(--Fe)","AKS338","arsR","(--Fe)",15.5016666666667,3,0.0144363244109589,0.000635115868214479,0.000366684317480233,0.00157771527956264
"33","arsR(--Fe)","AKS338","arsR","(--Fe)",16.0016666666667,3,0.0147909018756421,0.000638117521856414,0.000368417323018418,0.00158517180057218
"34","arsR(--Fe)","AKS338","arsR","(--Fe)",16.5016666666667,3,0.0151393337520853,0.000640571098862922,0.000369833896363603,0.00159126682374273
"35","arsR(--Fe)","AKS338","arsR","(--Fe)",17.0016666666667,3,0.0154816983205792,0.000642534084056669,0.000370967226393628,0.00159614314929013
"36","arsR(--Fe)","AKS338","arsR","(--Fe)",17.5016666666667,3,0.0158180740492631,0.000644064836668519,0.000371851006826142,0.00159994574958059
"37","arsR(--Fe)","AKS338","arsR","(--Fe)",18.0016666666667,3,0.0161485395342784,0.000645222533944356,0.000372519403659986,0.00160282162904228
