"","ID","strain","name","condition","time","reps","average","sd","CI95","sem"
"1","pyrE-Fe","H26","pyrE","-Fe",0,6,0,0,0,0
"2","pyrE-Fe","H26","pyrE","-Fe",0.501666666666667,6,0.000607788281083222,0.000228948659348581,0.000240266882826806,9.34678987830516e-05
"3","pyrE-Fe","H26","pyrE","-Fe",1.00166666666667,6,0.00121493901135132,0.0004595882204839,0.000482308258252178,0.000187626105329881
"4","pyrE-Fe","H26","pyrE","-Fe",1.50166666666667,6,0.00182323352151568,0.000692500145679365,0.000726734333509086,0.000282712000619577
"5","pyrE-Fe","H26","pyrE","-Fe",2.00166666666667,6,0.00243243397173813,0.000927505124188994,0.000973356933510081,0.00037865238134663
"6","pyrE-Fe","H26","pyrE","-Fe",2.50166666666667,6,0.00304230044256071,0.00116441987699661,0.00122198371872355,0.00047537242416601
"7","pyrE-Fe","H26","pyrE","-Fe",3.00166666666667,6,0.00365259136369925,0.00140305762148157,0.00147241867281044,0.000572795875392143
"8","pyrE-Fe","H26","pyrE","-Fe",3.50166666666667,6,0.00426306395103456,0.00164322855104885,0.0017244626059653,0.000670845246807105
"9","pyrE-Fe","H26","pyrE","-Fe",4.00166666666667,6,0.00487347464999702,0.00188474032731966,0.00197791367143847,0.000769442016596552
"10","pyrE-Fe","H26","pyrE","-Fe",4.50166666666667,6,0.00548357958348777,0.00212739858238319,0.00223256789261712,0.000868506834393184
"11","pyrE-Fe","H26","pyrE","-Fe",5.00166666666667,6,0.00609313500243863,0.00237100742853693,0.00248821969796478,0.000967959729377321
"12","pyrE-Fe","H26","pyrE","-Fe",5.50166666666667,6,0.00670189773708761,0.00261536997289215,0.00274466246106681,0.00106772032036374
"13","pyrE-Fe","H26","pyrE","-Fe",6.00166666666667,6,0.00730962564703691,0.00286028883419324,0.00300168904299892,0.00116770802679227
"14","pyrE-Fe","H26","pyrE","-Fe",6.50166666666667,6,0.00791607806816294,0.00310556665919391,0.00325909233423079,0.00126784227953748
"15","pyrE-Fe","H26","pyrE","-Fe",7.00166666666667,6,0.0085210162544687,0.00335100663595256,0.00351666579329656,0.00136804273046069
"16","pyrE-Fe","H26","pyrE","-Fe",7.50166666666667,6,0.00912420381300135,0.00359641300144905,0.00377420397950592,0.00146822945964358
"17","pyrE-Fe","H26","pyrE","-Fe",8.00166666666667,6,0.00972540713000607,0.00384159154098861,0.00403150307703638,0.00156832317926904
"18","pyrE-Fe","H26","pyrE","-Fe",8.50166666666667,6,0.0103243957865501,0.00408635007694235,0.004288361407835,0.00166824543314859
"19","pyrE-Fe","H26","pyrE","-Fe",9.00166666666667,6,0.0109209429619243,0.00433049894447779,0.00454457993086694,0.00176791879093862
"20","pyrE-Fe","H26","pyrE","-Fe",9.50166666666667,6,0.0115148258232181,0.0045738514520548,0.00479996272537631,0.00186726703613703
"21","pyrE-Fe","H26","pyrE","-Fe",10.0016666666667,6,0.0121058258995603,0.00481622432460109,0.00505431745597035,0.00196621534700887
"22","pyrE-Fe","H26","pyrE","-Fe",10.5016666666667,6,0.0126937294396286,0.00505743812743613,0.00530745581750028,0.00206469046965256
"23","pyrE-Fe","H26","pyrE","-Fe",11.0016666666667,6,0.0132783277511462,0.00529731766917674,0.0055591939578848,0.00216262088248542
"24","pyrE-Fe","H26","pyrE","-Fe",11.5016666666667,6,0.0138594175212088,0.00553569238203719,0.00580935287721052,0.00225993695150051
"25","pyrE-Fe","H26","pyrE","-Fe",12.0016666666667,6,0.0144368011164178,0.00577239667812048,0.00605775880163682,0.00235657107572197
"26","pyrE-Fe","H26","pyrE","-Fe",12.5016666666667,6,0.015010286861928,0.00600727028049052,0.00630424353083469,0.00245245782236463
"27","pyrE-Fe","H26","pyrE","-Fe",13.0016666666667,6,0.0155796892986623,0.00624015852801094,0.00654864475789554,0.00254753405128396
"28","pyrE-Fe","H26","pyrE","-Fe",13.5016666666667,6,0.016144829418081,0.00647091265313311,0.00679080636085176,0.00264173902838257
"29","pyrE-Fe","H26","pyrE","-Fe",14.0016666666667,6,0.0167055348740398,0.00669939003201631,0.00703057866516181,0.0027350145277213
"30","pyrE-Fe","H26","pyrE","-Fe",14.5016666666667,6,0.0172616401714101,0.00692545440655484,0.00726781867671334,0.00282730492216144
"31","pyrE-Fe","H26","pyrE","-Fe",15.0016666666667,6,0.0178129868312721,0.00714897607808225,0.00750239028510333,0.00291855726244413
"32","pyrE-Fe","H26","pyrE","-Fe",15.5016666666667,6,0.018359423532632,0.00736983207270539,0.00773416443714553,0.00300872134468772
"33","pyrE-Fe","H26","pyrE","-Fe",16.0016666666667,6,0.0189008062307388,0.00758790627840058,0.00796301928074407,0.00309774976635705
"34","pyrE-Fe","H26","pyrE","-Fe",16.5016666666667,6,0.0194369982522103,0.0078030895541731,0.00818884027944932,0.0031855979708276
"35","pyrE-Fe","H26","pyrE","-Fe",17.0016666666667,6,0.0199678703672904,0.0080152798117406,0.00841152029817936,0.00327222428073262
"36","pyrE-Fe","H26","pyrE","-Fe",17.5016666666667,6,0.0204933008396778,0.00822438207034846,0.0086309596607452,0.00335758992034141
"37","pyrE-Fe","H26","pyrE","-Fe",18.0016666666667,6,0.0210131754544678,0.00843030848546199,0.00884706617996135,0.00344165902727286
"38","pyrE-Fe","H26","pyrE","-Fe",18.5016666666667,6,0.0215273875248466,0.00863297835220334,0.00905975516125269,0.00352439865389855
"39","pyrE-Fe","H26","pyrE","-Fe",19.0016666666667,6,0.022035837878266,0.0088323180845122,0.00926894938078493,0.00360577875883517
