"","ID","strain","name","condition","time","reps","average","sd","CI95","sem"
"1","arsR-Fe","AKS338","arsR","-Fe",0,9,0,0,0,0
"2","arsR-Fe","AKS338","arsR","-Fe",0.501666666666667,9,0.00507850198758761,0.000324586634135484,0.000249499373516142,0.000108195544711828
"3","arsR-Fe","AKS338","arsR","-Fe",1.00166666666667,9,0.0100439332171433,0.000661792112362333,0.000508698449251013,0.000220597370787444
"4","arsR-Fe","AKS338","arsR","-Fe",1.50166666666667,9,0.014905333486413,0.00101179812750665,0.000777736888674059,0.000337266042502218
"5","arsR-Fe","AKS338","arsR","-Fe",2.00166666666667,9,0.0196554917972127,0.00137355643940345,0.00105580894306689,0.000457852146467817
"6","arsR-Fe","AKS338","arsR","-Fe",2.50166666666667,9,0.0242879943235207,0.00174587395890901,0.00134199752292981,0.000581957986303003
"7","arsR-Fe","AKS338","arsR","-Fe",3.00166666666667,9,0.0287972388124971,0.0021274431621892,0.00163529757647337,0.000709147720729734
"8","arsR-Fe","AKS338","arsR","-Fe",3.50166666666667,9,0.0331784385329853,0.00251687184966449,0.00193463896436843,0.000838957283221498
"9","arsR-Fe","AKS338","arsR","-Fe",4.00166666666667,9,0.0374276164055698,0.00291271162712247,0.00223890835226722,0.000970903875707489
"10","arsR-Fe","AKS338","arsR","-Fe",4.50166666666667,9,0.0415415901078721,0.0033134846078994,0.00254696973591713,0.0011044948692998
"11","arsR-Fe","AKS338","arsR","-Fe",5.00166666666667,9,0.0455179490730918,0.00371770794896466,0.00285768330126464,0.00123923598298822
"12","arsR-Fe","AKS338","arsR","-Fe",5.50166666666667,9,0.0493550243882751,0.00412391594007036,0.00316992240367888,0.00137463864669012
"13","arsR-Fe","AKS338","arsR","-Fe",6.00166666666667,9,0.0530518526523385,0.00453067946326837,0.00348258852586048,0.00151022648775612
"14","arsR-Fe","AKS338","arsR","-Fe",6.50166666666667,9,0.0566081348746177,0.00493662272920607,0.00379462414249736,0.00164554090973536
"15","arsR-Fe","AKS338","arsR","-Fe",7.00166666666667,9,0.0600241914857874,0.00534043727579763,0.00410502348059594,0.00178014575859921
"16","arsR-Fe","AKS338","arsR","-Fe",7.50166666666667,9,0.0633009144982331,0.00574089328337095,0.00441284121707308,0.00191363109445698
"17","arsR-Fe","AKS338","arsR","-Fe",8.00166666666667,9,0.0664397177966419,0.0061368483177216,0.00471719919926225,0.0020456161059072
"18","arsR-Fe","AKS338","arsR","-Fe",8.50166666666667,9,0.0694424864662022,0.00652725365851696,0.00501729130935554,0.00217575121950565
"19","arsR-Fe","AKS338","arsR","-Fe",9.00166666666667,9,0.0723115259798089,0.00691115840540704,0.00531238662063989,0.00230371946846901
"20","arsR-Fe","AKS338","arsR","-Fe",9.50166666666667,9,0.0750495119713297,0.00728771157857199,0.00560183101212077,0.00242923719285733
"21","arsR-Fe","AKS338","arsR","-Fe",10.0016666666667,9,0.0776594412231906,0.00765616244513008,0.0058850474194216,0.00255205414837669
"22","arsR-Fe","AKS338","arsR","-Fe",10.5016666666667,9,0.0801445843967415,0.00801585930891187,0.00616153490452186,0.00267195310297062
"23","arsR-Fe","AKS338","arsR","-Fe",11.0016666666667,9,0.0825084409359992,0.00836624699980289,0.00643086672589497,0.0027887489999343
"24","arsR-Fe","AKS338","arsR","-Fe",11.5016666666667,9,0.0847546964818267,0.00870686329144625,0.0066926875849108,0.00290228776381542
"25","arsR-Fe","AKS338","arsR","-Fe",12.0016666666667,9,0.0868871830462524,0.00903733446387533,0.00694671021497321,0.00301244482129178
"26","arsR-Fe","AKS338","arsR","-Fe",12.5016666666667,9,0.0889098421167878,0.00935737021183643,0.00719271146771036,0.00311912340394548
"27","arsR-Fe","AKS338","arsR","-Fe",13.0016666666667,9,0.09082669078915,0.00966675808130224,0.00743052803650042,0.00322225269376741
"28","arsR-Fe","AKS338","arsR","-Fe",13.5016666666667,9,0.0926417909641729,0.00996535759696893,0.0076600519424662,0.00332178586565631
"29","arsR-Fe","AKS338","arsR","-Fe",14.0016666666667,9,0.0943592215910154,0.0102530942232362,0.00788122589247354,0.00341769807441207
"30","arsR-Fe","AKS338","arsR","-Fe",14.5016666666667,9,0.0959830538938444,0.0105299532809986,0.00809403860316312,0.00350998442699952
"31","arsR-Fe","AKS338","arsR","-Fe",15.0016666666667,9,0.0975173294825875,0.01079597392309,0.00829852017006727,0.00359865797436332
"32","arsR-Fe","AKS338","arsR","-Fe",15.5016666666667,9,0.0989660412195293,0.0110512432528463,0.00849473754673694,0.00368374775094878
"33","arsR-Fe","AKS338","arsR","-Fe",16.0016666666667,9,0.100333116691779,0.0112958906532787,0.00868279018575822,0.00376529688442622
"34","arsR-Fe","AKS338","arsR","-Fe",16.5016666666667,9,0.101622404124213,0.0115300823789725,0.00886280588171839,0.00384336079299082
"35","arsR-Fe","AKS338","arsR","-Fe",17.0016666666667,9,0.102837660557612,0.0117540164491462,0.00903493684566299,0.00391800548304874
"36","arsR-Fe","AKS338","arsR","-Fe",17.5016666666667,9,0.103982542111571,0.0119679178683315,0.00919935603138543,0.0039893059561105
"37","arsR-Fe","AKS338","arsR","-Fe",18.0016666666667,9,0.105060596150643,0.0121720341908482,0.00935625372598085,0.00405734473028275
"38","arsR-Fe","AKS338","arsR","-Fe",18.5016666666667,9,0.106075255174329,0.0123666314365602,0.00950583441041791,0.00412221047885341
"39","arsR-Fe","AKS338","arsR","-Fe",19.0016666666667,9,0.107029832256347,0.012551990358196,0.00964831389034763,0.00418399678606535
